T = 18.5 C, K = 10.4383548294; t = 0 is u = 50 mV on the upstroke; S = 0 at t = -1.426 ms (u = 1e-05 mV)
   t (ms)   |dy/dK| (max comp)   scaled distance from rest   log10 affordable K width for a 1e-2 block
     0.0      2.186e+02      5.000e-01       -4.3
     1.0      1.664e+10      4.618e-01      -12.2
     2.0      9.638e+15      1.808e-01      -18.0
     4.0      5.073e+25      3.944e-02      -27.7
     6.0      1.316e+35      4.311e-02      -37.1
     8.0      3.240e+44      6.363e-03      -46.5
    10.0      9.238e+53      3.428e-03      -56.0
    12.0      2.729e+63      8.036e-04      -65.4
    14.0      7.913e+72      8.198e-04      -74.9
    16.0      2.281e+82      2.727e-04      -84.4
    18.0      6.586e+91      6.063e-05      -93.8
    20.0     1.904e+101      1.999e-05     -103.3
    25.0     8.553e+124      3.219e-06     -126.9
    30.0     3.841e+148      1.406e-07     -150.6
