eps_0.080225_0.080325.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 74, 'slab_refused': 74, 'face_refused': 74, 'block_refused': True}
eps_0.080100_0.080225.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 73, 'slab_refused': 73, 'face_refused': 73, 'block_refused': True}
eps_0.080325_0.080440.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 74, 'slab_refused': 74, 'face_refused': 74, 'block_refused': True}
eps_0.080000_0.080100.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 74, 'slab_refused': 74, 'face_refused': 74, 'block_refused': True}
eps_0.080572_0.080724.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 73, 'slab_refused': 73, 'face_refused': 73, 'block_refused': True}
eps_0.080440_0.080572.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 73, 'slab_refused': 73, 'face_refused': 73, 'block_refused': True}
eps_0.080724_0.080876.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 73, 'slab_refused': 73, 'face_refused': 73, 'block_refused': True}
eps_0.080876_0.081029.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 73, 'slab_refused': 73, 'face_refused': 73, 'block_refused': True}
eps_0.081029_0.081181.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 72, 'slab_refused': 72, 'face_refused': 72, 'block_refused': True}
eps_0.081181_0.081257.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 74, 'slab_refused': 74, 'face_refused': 74, 'block_refused': True}
eps_0.081257_0.081344.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 73, 'slab_refused': 73, 'face_refused': 73, 'block_refused': True}
eps_0.081344_0.081445.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 73, 'slab_refused': 73, 'face_refused': 73, 'block_refused': True}
eps_0.081445_0.081560.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 73, 'slab_refused': 73, 'face_refused': 73, 'block_refused': True}
eps_0.085050_0.085112.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 71, 'slab_refused': 71, 'face_refused': 71, 'block_refused': True}
eps_0.085000_0.085050.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 72, 'slab_refused': 72, 'face_refused': 72, 'block_refused': True}
