certified subintervals: 383; range [0.080000, 0.136930]; gaps: none
| E_k | c1(E_k) | c2(E_k) | window width at fixed eps (approx.) | block U-range | T | stages | max split |
|---|---|---|---|---|---|---|---|
| [0.080000, 0.080100] | 1.12605720351 | 1.12618473188 | 1.27e-05 | 0.05 | 75.0 | 75 | 1 |
| [0.080100, 0.080225] | 1.12591330146 | 1.12607275204 | 1.58e-05 | 0.05 | 74.0 | 74 | 1 |
| [0.080225, 0.080325] | 1.12580124644 | 1.12592883906 | 1.27e-05 | 0.05 | 75.0 | 75 | 1 |
| [0.080325, 0.080440] | 1.12566933009 | 1.12581609699 | 1.46e-05 | 0.05 | 75.0 | 75 | 1 |
| ... |
| [0.136500, 0.136700] | 1.05449123110 | 1.05480564702 | 2.22e-05 | 0.05 | 45.0 | 45 | 1 |
| [0.136700, 0.136930] | 1.05415625163 | 1.05451827222 | 2.56e-05 | 0.05 | 45.0 | 45 | 1 |
| [0.138000, 0.138200] | 1.05230990076 | 1.05262703794 | 2.22e-05 | 0.05 | 44.0 | 44 | 1 |
| [0.139500, 0.139700] | 1.05010729686 | 1.05042724639 | 2.21e-05 | 0.05 | 44.0 | 44 | 1 |
| eps bin | subintervals | smallest width | min c1(E_k) | max c2(E_k) | widest c2 - c1 |
|---|---|---|---|---|---|
| [0.080000, 0.085000) | 56 | 3.0e-05 | 1.120447885 | 1.126184732 | 2.0e-04 |
| [0.085000, 0.090000) | 43 | 3.2e-05 | 1.114630533 | 1.120457049 | 3.0e-04 |
| [0.090000, 0.095000) | 50 | 2.3e-05 | 1.108745260 | 1.114652673 | 3.0e-04 |
| [0.095000, 0.100000) | 34 | 1.0e-04 | 1.102516850 | 1.108753587 | 3.5e-04 |
| [0.100000, 0.105000) | 23 | 1.2e-04 | 1.096533473 | 1.102549925 | 4.7e-04 |
| [0.105000, 0.110000) | 25 | 9.3e-05 | 1.090137678 | 1.096555156 | 3.7e-04 |
| [0.110000, 0.115000) | 21 | 4.7e-05 | 1.083800060 | 1.090158052 | 4.9e-04 |
| [0.115000, 0.120000) | 20 | 5.7e-05 | 1.077529075 | 1.083832317 | 5.0e-04 |
| [0.120000, 0.125000) | 41 | 3.2e-05 | 1.070770108 | 1.077545764 | 3.3e-04 |
| [0.125000, 0.130000) | 40 | 5.0e-05 | 1.063724897 | 1.070784849 | 4.0e-04 |
| [0.130000, 0.135000) | 20 | 4.6e-05 | 1.056941557 | 1.063758520 | 5.4e-04 |
| [0.135000, 0.140000) | 8 | 1.5e-04 | 1.054156252 | 1.056963740 | 5.5e-04 |
