# a_re a_im b_re b_im | D on the segment ball | D(a)
-1/20 38/5 -1/20 379/50 | [8e+2 +/- 13.0] + [-2.3e+2 +/- 7.48]j | [796.1 +/- 0.0778] + [-2.30e+2 +/- 0.320]j
-1/20 379/50 -1/20 189/25 | [7.9e+2 +/- 7.00] + [-2.3e+2 +/- 8.03]j | [7.92e+2 +/- 0.102] + [-2.29e+2 +/- 0.248]j
-1/20 189/25 -1/20 377/50 | [8e+2 +/- 21.1] + [-2.3e+2 +/- 8.57]j | [7.88e+2 +/- 0.215] + [-228.6 +/- 0.0848]j
-1/20 377/50 -1/20 188/25 | [7.8e+2 +/- 8.72] + [-2e+2 +/- 34.8]j | [7.84e+2 +/- 0.318] + [-228.0 +/- 0.0808]j
-1/20 188/25 -1/20 15/2 | [8e+2 +/- 29.4] + [-2e+2 +/- 34.2]j | [7.80e+2 +/- 0.409] + [-2.27e+2 +/- 0.499]j
-1/20 15/2 -1/20 187/25 | [8e+2 +/- 33.4] + [-2e+2 +/- 33.5]j | [775.6 +/- 0.0893] + [-2.27e+2 +/- 0.234]j
-1/20 187/25 -1/20 373/50 | [7.7e+2 +/- 7.51] + [-2e+2 +/- 33.0]j | [771.5 +/- 0.0867] + [-2.26e+2 +/- 0.332]j
-1/20 373/50 -1/20 186/25 | [8e+2 +/- 41.6] + [-2e+2 +/- 32.4]j | [7.67e+2 +/- 0.529] + [-2.26e+2 +/- 0.401]j
-1/20 186/25 -1/20 371/50 | [7.6e+2 +/- 8.40] + [-2e+2 +/- 31.9]j | [763.4 +/- 0.0817] + [-225.1 +/- 0.0834]j
-1/20 371/50 -1/20 37/5 | [8e+2 +/- 49.7] + [-2e+2 +/- 31.3]j | [7.59e+2 +/- 0.445] + [-224.5 +/- 0.0833]j
-1/20 37/5 -1/20 369/50 | [8e+2 +/- 53.6] + [-2e+2 +/- 30.6]j | [7.55e+2 +/- 0.420] + [-2.24e+2 +/- 0.150]j
-1/20 369/50 -1/20 184/25 | [7.5e+2 +/- 7.71] + [-2e+2 +/- 30.1]j | [7.51e+2 +/- 0.406] + [-2.23e+2 +/- 0.418]j
-1/20 184/25 -1/20 367/50 | [7e+2 +/- 52.3] + [-2.2e+2 +/- 9.44]j | [7.47e+2 +/- 0.402] + [-2.23e+2 +/- 0.316]j
-1/20 367/50 -1/20 183/25 | [7.4e+2 +/- 8.32] + [-2.2e+2 +/- 8.87]j | [7.43e+2 +/- 0.409] + [-2.22e+2 +/- 0.251]j
-1/20 183/25 -1/20 73/10 | [7e+2 +/- 44.5] + [-2.2e+2 +/- 8.35]j | [7.39e+2 +/- 0.428] + [-221.6 +/- 0.0809]j
-1/20 73/10 -1/20 182/25 | [7e+2 +/- 40.3] + [-2.2e+2 +/- 7.58]j | [735.4 +/- 0.0875] + [-221.0 +/- 0.0835]j
-1/20 182/25 -1/20 363/50 | [7.3e+2 +/- 7.48] + [-2.2e+2 +/- 7.07]j | [7.31e+2 +/- 0.498] + [-2.20e+2 +/- 0.500]j
-1/20 363/50 -1/20 181/25 | [7e+2 +/- 32.4] + [-2.2e+2 +/- 7.34]j | [7.27e+2 +/- 0.549] + [-2.20e+2 +/- 0.230]j
-1/20 181/25 -1/20 361/50 | [7.2e+2 +/- 8.45] + [-2.2e+2 +/- 7.91]j | [7.24e+2 +/- 0.532] + [-2.19e+2 +/- 0.333]j
-1/20 361/50 -1/20 36/5 | [7.2e+2 +/- 9.25] + [-2.2e+2 +/- 8.52]j | [719.6 +/- 0.0842] + [-2.19e+2 +/- 0.396]j
-1/20 36/5 -1/20 359/50 | [7e+2 +/- 20.8] + [-2.2e+2 +/- 9.18]j | [715.7 +/- 0.0707] + [-218.1 +/- 0.0777]j
-1/20 359/50 -1/20 179/25 | [7.1e+2 +/- 7.03] + [-2.2e+2 +/- 9.66]j | [711.8 +/- 0.0749] + [-217.5 +/- 0.0806]j
-1/20 179/25 -1/20 357/50 | [7e+2 +/- 13.0] + [-2e+2 +/- 23.7]j | [707.9 +/- 0.0709] + [-2.17e+2 +/- 0.145]j
-1/20 357/50 -1/20 178/25 | [7.0e+2 +/- 9.06] + [-2e+2 +/- 23.1]j | [704.0 +/- 0.0885] + [-2.16e+2 +/- 0.414]j
-1/20 178/25 -1/20 71/10 | [7.0e+2 +/- 8.80] + [-2e+2 +/- 22.5]j | [7.00e+2 +/- 0.218] + [-2.16e+2 +/- 0.311]j
-1/20 71/10 -1/20 177/25 | [7e+2 +/- 12.7] + [-2e+2 +/- 21.9]j | [696.3 +/- 0.0807] + [-2.15e+2 +/- 0.247]j
-1/20 177/25 -1/20 353/50 | [6.9e+2 +/- 7.50] + [-2e+2 +/- 21.3]j | [6.92e+2 +/- 0.510] + [-214.6 +/- 0.0791]j
-1/20 353/50 -1/20 176/25 | [7e+2 +/- 20.4] + [-2e+2 +/- 20.8]j | [688.6 +/- 0.0716] + [-214.0 +/- 0.0803]j
-1/20 176/25 -1/20 351/50 | [6.8e+2 +/- 9.87] + [-2e+2 +/- 20.2]j | [684.8 +/- 0.0951] + [-2.13e+2 +/- 0.496]j
-1/20 351/50 -1/20 7 | [6.8e+2 +/- 7.95] + [-2e+2 +/- 19.6]j | [6.81e+2 +/- 0.111] + [-2.13e+2 +/- 0.230]j
-1/20 7 -1/20 349/50 | [7e+2 +/- 32.2] + [-2.1e+2 +/- 9.35]j | [6.77e+2 +/- 0.224] + [-2.12e+2 +/- 0.329]j
-1/20 349/50 -1/20 174/25 | [6.7e+2 +/- 9.04] + [-2.1e+2 +/- 8.96]j | [6.73e+2 +/- 0.430] + [-2.12e+2 +/- 0.398]j
-1/20 174/25 -1/20 347/50 | [7e+2 +/- 77.0] + [-2e+2 +/- 55.5]j | [669.6 +/- 0.0922] + [-211.1 +/- 0.0805]j
-1/20 347/50 -1/20 173/25 | [7e+2 +/- 63.3] + [-2e+2 +/- 37.5]j | [665.8 +/- 0.0746] + [-210.5 +/- 0.0768]j
-1/20 173/25 -1/20 69/10 | [7e+2 +/- 78.0] + [-2e+2 +/- 47.8]j | [6.62e+2 +/- 0.114] + [-2.10e+2 +/- 0.148]j
-1/20 69/10 -1/20 172/25 | [7e+2 +/- 77.6] + [-2e+2 +/- 43.1]j | [658.3 +/- 0.0741] + [-2.09e+2 +/- 0.409]j
-1/20 172/25 -1/20 343/50 | [7e+2 +/- 88.5] + [-2e+2 +/- 49.6]j | [6.55e+2 +/- 0.513] + [-2.09e+2 +/- 0.316]j
-1/20 343/50 -1/20 171/25 | [6e+2 +/- 86.2] + [-2e+2 +/- 45.1]j | [650.8 +/- 0.0975] + [-2.08e+2 +/- 0.241]j
-1/20 171/25 -1/20 341/50 | [6e+2 +/- 84.1] + [-2e+2 +/- 46.1]j | [647.1 +/- 0.0804] + [-207.6 +/- 0.0833]j
-1/20 341/50 -1/20 34/5 | [6e+2 +/- 79.1] + [-2e+2 +/- 44.3]j | [643.4 +/- 0.0738] + [-207.0 +/- 0.0708]j
-1/20 34/5 -1/20 339/50 | [6e+2 +/- 73.8] + [-2e+2 +/- 42.1]j | [639.7 +/- 0.0795] + [-206.4 +/- 0.0868]j
-1/20 339/50 -1/20 169/25 | [6e+2 +/- 68.3] + [-2e+2 +/- 39.7]j | [636.0 +/- 0.0958] + [-2.06e+2 +/- 0.235]j
-1/20 169/25 -1/20 337/50 | [6e+2 +/- 65.4] + [-2e+2 +/- 39.8]j | [6.32e+2 +/- 0.423] + [-2.05e+2 +/- 0.318]j
-1/20 337/50 -1/20 168/25 | [6e+2 +/- 60.4] + [-2e+2 +/- 37.9]j | [628.7 +/- 0.0723] + [-2.05e+2 +/- 0.403]j
-1/20 168/25 -1/20 67/10 | [6e+2 +/- 57.5] + [-2e+2 +/- 38.1]j | [6.25e+2 +/- 0.112] + [-204.1 +/- 0.0872]j
-1/20 67/10 -1/20 167/25 | [6e+2 +/- 52.9] + [-2e+2 +/- 36.5]j | [621.4 +/- 0.0725] + [-203.5 +/- 0.0721]j
-1/20 167/25 -1/20 333/50 | [6e+2 +/- 48.4] + [-2e+2 +/- 35.0]j | [617.8 +/- 0.0911] + [-202.9 +/- 0.0810]j
-1/20 333/50 -1/20 166/25 | [6e+2 +/- 43.9] + [-2e+2 +/- 33.6]j | [6.14e+2 +/- 0.228] + [-202.3 +/- 0.0960]j
-1/20 166/25 -1/20 331/50 | [6e+2 +/- 40.1] + [-2e+2 +/- 32.8]j | [6.11e+2 +/- 0.514] + [-2.02e+2 +/- 0.326]j
-1/20 331/50 -1/20 33/5 | [6e+2 +/- 36.1] + [-2e+2 +/- 31.8]j | [6.07e+2 +/- 0.109] + [-2.01e+2 +/- 0.227]j
-1/20 33/5 -1/20 329/50 | [6e+2 +/- 32.1] + [-2e+2 +/- 30.8]j | [603.4 +/- 0.0931] + [-200.6 +/- 0.0949]j
-1/20 329/50 -1/20 164/25 | [6e+2 +/- 32.4] + [-2e+2 +/- 30.7]j | [599.8 +/- 0.0681] + [-200.0 +/- 0.0791]j
-1/20 164/25 -1/20 327/50 | [6e+2 +/- 34.8] + [-2e+2 +/- 30.2]j | [5.96e+2 +/- 0.307] + [-199.4 +/- 0.0718]j
-1/20 327/50 -1/20 163/25 | [6e+2 +/- 38.2] + [-2e+2 +/- 30.6]j | [592.7 +/- 0.0781] + [-198.8 +/- 0.0867]j
-1/20 163/25 -1/20 13/2 | [6e+2 +/- 41.0] + [-2e+2 +/- 30.4]j | [5.89e+2 +/- 0.215] + [-1.98e+2 +/- 0.301]j
-1/20 13/2 -1/20 162/25 | [6e+2 +/- 44.4] + [-2e+2 +/- 30.9]j | [585.6 +/- 0.0851] + [-1.98e+2 +/- 0.418]j
-1/20 162/25 -1/20 323/50 | [6e+2 +/- 47.0] + [-2e+2 +/- 30.6]j | [582.1 +/- 0.0676] + [-1.97e+2 +/- 0.131]j
-1/20 323/50 -1/20 161/25 | [6e+2 +/- 50.7] + [-2e+2 +/- 31.3]j | [578.6 +/- 0.0702] + [-196.5 +/- 0.0876]j
-1/20 161/25 -1/20 321/50 | [6e+2 +/- 53.3] + [-2e+2 +/- 31.0]j | [575.1 +/- 0.0649] + [-195.9 +/- 0.0718]j
-1/20 321/50 -1/20 32/5 | [6e+2 +/- 56.3] + [-2e+2 +/- 31.2]j | [571.6 +/- 0.0787] + [-195.3 +/- 0.0730]j
-1/20 32/5 -1/20 319/50 | [6e+2 +/- 59.3] + [-2e+2 +/- 31.3]j | [5.68e+2 +/- 0.206] + [-194.7 +/- 0.0877]j
-1/20 319/50 -1/20 159/25 | [6e+2 +/- 62.3] + [-2e+2 +/- 31.4]j | [564.7 +/- 0.0846] + [-1.94e+2 +/- 0.203]j
-1/20 159/25 -1/20 317/50 | [6e+2 +/- 66.1] + [-2e+2 +/- 32.4]j | [561.2 +/- 0.0912] + [-1.94e+2 +/- 0.513]j
