# a_re a_im b_re b_im | D on the segment ball | D(a)
9/2 0 9/2 1/50 | [-4.1e+2 +/- 6.67] + [+/- 4.90]j | [-406.7 +/- 0.0477] + [+/- 0.0324]j
9/2 1/50 9/2 1/25 | [-4.1e+2 +/- 6.70] + [+/- 8.00]j | [-406.7 +/- 0.0424] + [-3.1 +/- 0.0530]j
9/2 1/25 9/2 3/50 | [-4.1e+2 +/- 6.74] + [+/- 11.1]j | [-406.7 +/- 0.0581] + [-6.2 +/- 0.0736]j
9/2 3/50 9/2 2/25 | [-4.1e+2 +/- 6.79] + [-1e+1 +/- 4.20]j | [-406.7 +/- 0.0856] + [-9.2 +/- 0.0725]j
9/2 2/25 9/2 1/10 | [-4.1e+2 +/- 6.86] + [-1e+1 +/- 7.30]j | [-406.6 +/- 0.0609] + [-12.3 +/- 0.0525]j
9/2 1/10 9/2 3/25 | [-4.1e+2 +/- 6.93] + [-2e+1 +/- 6.53]j | [-406.6 +/- 0.0732] + [-15.4 +/- 0.0350]j
9/2 3/25 9/2 7/50 | [-4.1e+2 +/- 7.02] + [-2e+1 +/- 3.50]j | [-406.5 +/- 0.0519] + [-18.5 +/- 0.0555]j
9/2 7/50 9/2 4/25 | [-4.1e+2 +/- 7.11] + [-2e+1 +/- 6.60]j | [-406.4 +/- 0.0811] + [-21.6 +/- 0.0761]j
9/2 4/25 9/2 9/50 | [-4.1e+2 +/- 7.22] + [-3e+1 +/- 7.35]j | [-406.4 +/- 0.0865] + [-24.6 +/- 0.0725]j
9/2 9/50 9/2 1/5 | [-4.1e+2 +/- 7.34] + [-3e+1 +/- 4.29]j | [-406.3 +/- 0.0794] + [-27.7 +/- 0.0524]j
9/2 1/5 9/2 11/50 | [-4.1e+2 +/- 7.47] + [-3e+1 +/- 5.91]j | [-406.2 +/- 0.0833] + [-30.8 +/- 0.0374]j
9/2 11/50 9/2 6/25 | [-4.1e+2 +/- 7.61] + [-4e+1 +/- 8.17]j | [-406.0 +/- 0.0885] + [-33.9 +/- 0.0580]j
