# a_re a_im b_re b_im | D on the segment ball | D(a)
9/2 38/5 20429/4560 38/5 | [3.8e+2 +/- 7.89] + [-1.17e+3 +/- 8.51]j | [3.80e+2 +/- 0.514] + [-1.170e+3 +/- 0.424]j
20429/4560 38/5 10169/2280 38/5 | [4e+2 +/- 22.7] + [-1.2e+3 +/- 42.7]j | [3.83e+2 +/- 0.451] + [-1.166e+3 +/- 0.294]j
10169/2280 38/5 6749/1520 38/5 | [3.9e+2 +/- 9.57] + [-1.16e+3 +/- 6.79]j | [3.86e+2 +/- 0.399] + [-1.162e+3 +/- 0.164]j
6749/1520 38/5 5039/1140 38/5 | [3.9e+2 +/- 7.03] + [-1.2e+3 +/- 51.0]j | [3.89e+2 +/- 0.358] + [-1.158e+3 +/- 0.152]j
5039/1140 38/5 4013/912 38/5 | [4e+2 +/- 13.6] + [-1.15e+3 +/- 8.53]j | [3.92e+2 +/- 0.327] + [-1.154e+3 +/- 0.281]j
4013/912 38/5 3329/760 38/5 | [4e+2 +/- 10.5] + [-1.15e+3 +/- 9.17]j | [3.95e+2 +/- 0.307] + [-1.150e+3 +/- 0.411]j
3329/760 38/5 19883/4560 38/5 | [4.0e+2 +/- 7.50] + [-1.1e+3 +/- 50.3]j | [3.98e+2 +/- 0.299] + [-1.146e+3 +/- 0.540]j
19883/4560 38/5 1237/285 38/5 | [4.0e+2 +/- 9.08] + [-1.14e+3 +/- 7.44]j | [4.01e+2 +/- 0.301] + [-1.141e+3 +/- 0.515]j
1237/285 38/5 6567/1520 38/5 | [4e+2 +/- 12.1] + [-1.1e+3 +/- 42.1]j | [4.04e+2 +/- 0.314] + [-1.137e+3 +/- 0.385]j
6567/1520 38/5 1961/456 38/5 | [4.1e+2 +/- 8.57] + [-1.13e+3 +/- 7.90]j | [4.07e+2 +/- 0.338] + [-1.133e+3 +/- 0.256]j
1961/456 38/5 19519/4560 38/5 | [4.1e+2 +/- 8.00] + [-1.1e+3 +/- 33.8]j | [4.10e+2 +/- 0.372] + [-1.129e+3 +/- 0.126]j
19519/4560 38/5 1619/380 38/5 | [4e+2 +/- 21.0] + [-1.12e+3 +/- 9.65]j | [4.13e+2 +/- 0.418] + [-1.125e+3 +/- 0.187]j
1619/380 38/5 19337/4560 38/5 | [4.2e+2 +/- 9.73] + [-1.12e+3 +/- 8.11]j | [4.16e+2 +/- 0.475] + [-1.121e+3 +/- 0.317]j
19337/4560 38/5 9623/2280 38/5 | [4.2e+2 +/- 6.83] + [-1.1e+3 +/- 21.4]j | [4.19e+2 +/- 0.542] + [-1.117e+3 +/- 0.446]j
9623/2280 38/5 1277/304 38/5 | [4.2e+2 +/- 9.75] + [-1.11e+3 +/- 7.27]j | [4.21e+2 +/- 0.562] + [-1.113e+3 +/- 0.575]j
1277/304 38/5 2383/570 38/5 | [4e+2 +/- 32.7] + [-1.1e+3 +/- 13.2]j | [4.24e+2 +/- 0.472] + [-1.108e+3 +/- 0.478]j
2383/570 38/5 18973/4560 38/5 | [4.3e+2 +/- 8.10] + [-1.10e+3 +/- 9.02]j | [4.27e+2 +/- 0.372] + [-1.104e+3 +/- 0.349]j
18973/4560 38/5 3147/760 38/5 | [4.3e+2 +/- 8.44] + [-1.10e+3 +/- 8.77]j | [4.30e+2 +/- 0.261] + [-1.100e+3 +/- 0.220]j
3147/760 38/5 989/240 38/5 | [4e+2 +/- 41.4] + [-1.1e+3 +/- 12.9]j | [4.33e+2 +/- 0.139] + [-1.096e+3 +/- 0.0916]j
989/240 38/5 935/228 38/5 | [4.4e+2 +/- 9.49] + [-1.09e+3 +/- 7.03]j | [4.36e+2 +/- 0.174] + [-1.092e+3 +/- 0.221]j
935/228 38/5 6203/1520 38/5 | [4.4e+2 +/- 7.03] + [-1.1e+3 +/- 21.2]j | [4.39e+2 +/- 0.318] + [-1.088e+3 +/- 0.350]j
6203/1520 38/5 9259/2280 38/5 | [4e+2 +/- 49.9] + [-1.08e+3 +/- 8.39]j | [4.42e+2 +/- 0.472] + [-1.084e+3 +/- 0.479]j
9259/2280 38/5 18427/4560 38/5 | [4e+2 +/- 52.8] + [-1.08e+3 +/- 9.43]j | [4.44e+2 +/- 0.542] + [-1.079e+3 +/- 0.573]j
