family,measure,from,to,what,drop,drop_se,drop_lo,drop_hi,B
dt,sil,N0,N0p,N0 -> N0p: add soma distance and absolute postsynaptic position,0.004733619680439073,0.001453739730262811,0.002111319044648953,0.007777949638140992,1000
dt,sil,N0,N1,N0 -> N1: condition on cell totals,0.0062916903685383465,0.0020565397124816063,0.0024758074532673846,0.010625115326445592,1000
dt,sil,N1,N2,N1 -> N2: add soma distance and depth pairs,-6.22510018488745e-05,0.0013539395199776583,-0.0024403477523223076,0.0029350892132071035,1000
dt,sil,N0,N2,N0 -> N2,0.006229439366689472,0.002171572234948467,0.0024497208930389005,0.010834201922098706,1000
dt,sil,N2,N3,N2 -> N3: condition on each axon's laminar profile,0.0018351951883019812,0.0015874303466579909,-0.0009915850862742103,0.005187658592900005,1000
dt,sil,N0,N3,N0 -> N3,0.008064634554991453,0.0024016600097958303,0.004037031750880771,0.013468479166142995,1000
iv,viv,N0,N0p,N0 -> N0p: add soma distance and absolute postsynaptic position,0.0026665847168291902,0.001073118208013668,0.0007982764328658061,0.004916076792514135,1000
iv,viv,N0,N1,N0 -> N1: condition on cell totals,0.004006480015900607,0.0018442474658616301,0.0005214752610783537,0.008081418982982544,1000
iv,viv,N1,N2,N1 -> N2: add soma distance and depth pairs,-0.00021602092400598103,0.0013029879378752608,-0.0027732907427087767,0.002493355123240911,1000
iv,viv,N0,N2,N0 -> N2,0.003790459091894626,0.0018817399107874343,0.0003975426037349453,0.007980570240659145,1000
iv,viv,N2,N3,N2 -> N3: condition on each axon's laminar profile,0.0010934816814576883,0.001441575095085957,-0.0014129456013607811,0.004182425689639858,1000
iv,viv,N0,N3,N0 -> N3,0.004883940773352314,0.002083178686358263,0.0013990853669105141,0.009530035786129112,1000
